id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,19398.40610403,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,19182775,21000000,372115259652,0.3881,470,94418,12095,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,67599.89492580,2021-11-08T00:00:00Z,49783963574.40,-87.24246175,-0.0045,-626476868.99,-0.0124,-1656502571.62,-0.0044
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,1308.06748796,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,122373863,,160073272219,0.1670,552,96672,101096,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4811.50148864,2021-11-08T00:00:00Z,16855667291.48,-10.50057307,-0.0080,554515952.63,0.0340,-1284995696.06,-0.0080,ETH
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00013075,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,68442559805,,68451508754,0.0714,491,89906,32649,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,1.09168779,2017-12-23T00:00:00Z,187312644602.20,0.00032335134,0.0003,19224020457.63,0.1144,32129067.19,0.0005,ETH
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,0.99996685,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,44646069066,,44644589025,0.0466,335,9740,14068,2015-11-18T00:00:00Z,2015-11-18T00:00:00Z,2018-10-26T00:00:00Z,4,0,1.03034316,2019-05-02T00:00:00Z,4526493131.94,0.00097811652,0.0010,-127369657.54,-0.0274,-297143749.24,-0.0066,ETH
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BNB.png,active,273.02216643,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,163276975,163276975,44578233342,0.0465,304,26367,1175091,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,5,0,676.74080832,2021-05-03T00:00:00Z,1017307607.33,-1.32431331,-0.0048,-25332413.75,-0.0243,-216229870.20,-0.0048,BNB
XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.46985984,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,49887015710,100000000000,23439905334,0.0244,316,3116,129,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,6,0,2.75919814,2018-01-07T00:00:00Z,2015537970.42,-0.0074862331,-0.0157,-97943113.98,-0.0463,-410301887.83,-0.0172,
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,0.99990354,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,21437553680,21437553680,21435485802,0.0224,192,11677,33504,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,7,0,1.01245925,2020-03-12T00:00:00Z,10524172854.45,0.00053479468,0.0005,882811752.00,0.0916,161506873.58,0.0076,ETH
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.36527260,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,33694664727,45000000000,12307737860,0.0128,195,1145,725,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,8,0,2.96717348,2021-09-03T00:00:00Z,836321824.29,-0.0076252828,-0.0204,66221330.11,0.0860,-256254088.51,-0.0204,
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,30.30012416,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,358114926,,10850926734,0.0113,151,5264,3181,2019-06-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,9,0,259.00477863,2021-11-06T00:00:00Z,1522308249.80,-0.55141417,-0.0179,82781395.71,0.0575,-194491280.24,-0.0176,SOL
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.060411449,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,136534236384,,8248231020,0.0086,276,3325,1051,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,10,0,0.68873058,2021-05-07T00:00:00Z,341897912.10,0.00079070733,0.0133,821616.15,0.0024,108754558.93,0.0134,
MATIC,MATIC,MATIC,Polygon,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MATIC.jpg,active,0.85223067,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,8758817475,,7464532886,0.0078,241,4465,27915,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,11,0,2.88867575,2021-12-26T00:00:00Z,979825397.94,0.017657711,0.0212,372593107.46,0.6136,154660669.20,0.0212,MATIC
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,6.13871406,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1162240068,1243090721,7134659450,0.0074,174,676,3,2018-12-12T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,12,0,366.62344739,2020-08-12T00:00:00Z,341760525.26,-0.067629634,-0.0109,23204288.23,0.0728,-76824750.63,-0.0107,
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,0.99980005,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,6004100943,6004100943,6002900442,0.0063,236,3145,1891,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,13,0,1.15261172,2018-04-07T00:00:00Z,269059828.32,0.0017909802,0.0018,-43186942.86,-0.1383,14104316.06,0.0024,ETH
STETH,STETH,STETH,Liquid Staked Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/STETH.png,active,1303.11827543,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,4445240,4445240,5792673005,0.0060,16,33,0,2020-12-19T00:00:00Z,2020-12-19T00:00:00Z,2021-01-08T00:00:00Z,14,0,4776.81557791,2021-11-08T00:00:00Z,17942139.15,-11.15098701,-0.0085,-4918468.63,-0.2152,-42231034.29,-0.0072,ETH,2020-12-28T21:21:34.943723Z
TRX,TRX,TRX,TRON,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TRX.svg,active,0.062130602,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,92304917735,,5734960145,0.0060,258,2392,16874,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,2018-08-29T00:00:00Z,15,1,0.20713660,2018-01-04T00:00:00Z,613538395.51,-0.00026634739,-0.0043,84655094.98,0.1601,-24815090.13,-0.0043,TRX,
SHIB,SHIB,SHIB,Shiba Inu,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHIB.png,active,0.000010216990,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,559890356984450,999991089484642,5720393902,0.0060,160,425,50,2020-07-31T00:00:00Z,2020-07-31T00:00:00Z,2021-02-01T00:00:00Z,16,-1,0.000079590408,2021-10-27T00:00:00Z,195053770.10,-0.000000093895606,-0.0091,12193492.79,0.0667,-52459214.10,-0.0091,ETH,
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,19388.43673485,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,244556,244556,4741557998,0.0049,125,1365,173,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,17,1,67602.03995093,2021-11-08T00:00:00Z,144185303.68,-110.73466359,-0.0057,-28670037.47,-0.1659,-27080803.86,-0.0057,ETH,
